working_figure_number	working_figure	path	filename	format	size_bytes	modified_epoch	png_width_px	png_height_px	candidate_score	canonical_U27A4_source
10	Working_Figure_10	project://06_figures/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_Figure_10_independent_effect_heatmap.svg	UTI_HostOmics_U26B2B1_Figure_10_independent_effect_heatmap.svg	svg	70510	1784054235.5046537			17880	False
10	Working_Figure_10	project://06_figures/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_Figure_10_cross_dataset_effect_heatmap.svg	UTI_HostOmics_U26B2B_Figure_10_cross_dataset_effect_heatmap.svg	svg	129371	1784053853.2580802			17880	False
10	Working_Figure_10	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_10.svg	UTI_HostOmics_U27A_Figure_10.svg	svg	266096	1784059880.4875727			17880	False
10	Working_Figure_10	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_10.pdf	UTI_HostOmics_U27A2_Figure_10.pdf	pdf	39341	1784137649.4656582			17876	False
10	Working_Figure_10	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_10.pdf	UTI_HostOmics_U27A31_Figure_10.pdf	pdf	49101	1784142661.5344121			17876	False
10	Working_Figure_10	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_10.pdf	UTI_HostOmics_U27A3_Figure_10.pdf	pdf	51337	1784141583.0597262			17876	False
10	Working_Figure_10	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_10.pdf	UTI_HostOmics_U27A_Figure_10.pdf	pdf	77205	1784059881.5350142			17875	False
10	Working_Figure_10	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_10.png	UTI_HostOmics_U27A2_Figure_10.png	png	554577	1784137648.6307907	2522.0	2918.0	17871	False
10	Working_Figure_10	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_10.png	UTI_HostOmics_U27A31_Figure_10.png	png	569963	1784142660.3467896	2370.0	2785.0	17871	False
10	Working_Figure_10	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_10.png	UTI_HostOmics_U27A3_Figure_10.png	png	604301	1784141581.9133227	2370.0	2813.0	17871	False
10	Working_Figure_10	project://06_figures/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_10_primary_effect_heatmap.png	UTI_HostOmics_U26B1_1_Figure_10_primary_effect_heatmap.png	png	436877	1784051631.1527615	3158.0	2137.0	17870	False
10	Working_Figure_10	project://06_figures/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_10_candidate_effect_heatmap.png	UTI_HostOmics_U26B1_Figure_10_candidate_effect_heatmap.png	png	552178	1784051158.2922714	3715.0	2205.0	17870	False
10	Working_Figure_10	project://06_figures/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_Figure_10_independent_effect_heatmap.png	UTI_HostOmics_U26B2B1_Figure_10_independent_effect_heatmap.png	png	239297	1784054235.406736	2577.0	1643.0	17870	False
